cargo_id,origin,destination,weight_teu,type,priority,deadline,revenue_usd
C001,MOM,SIN,326,Container,MEDIUM,2026-04-21,45749.52
C002,COL,DXB,3581,Container,MEDIUM,2026-04-27,468077.78
C003,SIN,SAO,3694,Bulk,LOW,2026-05-16,619026.22
C004,NYK,MOM,3349,Container,HIGH,2026-04-03,396778.2
C005,MOM,ANT,639,Bulk,CRITICAL,2026-03-27,99753.86
C006,SAO,HAM,993,Bulk,MEDIUM,2026-04-12,130081.57
C007,SAO,HKG,4689,Liquid,MEDIUM,2026-04-26,650210.02
C008,ANT,SAO,4014,Container,LOW,2026-05-05,539032.46
C009,HAM,DXB,2177,Container,MEDIUM,2026-04-15,258500.54
C010,LAX,ANT,2469,Container,MEDIUM,2026-04-20,427734.8
C011,ANT,NYK,366,Container,MEDIUM,2026-04-16,58521.59
C012,SHA,DXB,4030,Container,CRITICAL,2026-03-27,866390.68
C013,MOM,ANT,3813,Container,CRITICAL,2026-03-26,891478.23
C014,ANT,SAO,1893,Container,MEDIUM,2026-04-10,252564.97
C015,HAM,NYK,3110,Liquid,LOW,2026-05-01,718494.66
C016,SAO,LAX,1631,Ro-Ro,CRITICAL,2026-03-25,213025.9
C017,SAO,ROT,690,Container,CRITICAL,2026-03-28,56708.23
C018,MOM,LAX,4680,Bulk,MEDIUM,2026-04-18,1082849.27
C019,ROT,SAO,1027,Ro-Ro,LOW,2026-04-24,193727.59
C020,SHA,DXB,533,Ro-Ro,HIGH,2026-04-04,96944.02
C021,DXB,COL,2476,Bulk,MEDIUM,2026-04-11,520520.02
C022,HAM,SHA,1565,Ro-Ro,MEDIUM,2026-04-21,210691.89
C023,SHA,DXB,3082,Bulk,HIGH,2026-04-02,393258.87
C024,HAM,SHA,2226,Bulk,HIGH,2026-03-30,373375.97
C025,SAO,NYK,4968,Container,HIGH,2026-04-07,662350.38
C026,SHA,HKG,2380,Liquid,MEDIUM,2026-04-22,416287.13
C027,HKG,SAO,4643,Liquid,LOW,2026-05-09,541765.66
C028,ANT,DXB,3593,Liquid,HIGH,2026-04-06,708162.69
C029,NYK,LAX,2720,Container,MEDIUM,2026-04-17,663115.35
C030,HKG,ROT,412,Container,HIGH,2026-03-31,51674.61
C031,SHA,SAO,1925,Bulk,HIGH,2026-04-02,372596.43
C032,SIN,HKG,1362,Container,HIGH,2026-04-06,284525.1
C033,MOM,LAX,1530,Container,LOW,2026-05-02,217410.64
C034,SHA,SIN,2822,Container,HIGH,2026-04-08,449228.9
C035,HAM,HKG,1044,Bulk,LOW,2026-04-29,249696.69
C036,LAX,SHA,4361,Container,LOW,2026-05-14,568582.94
C037,ANT,DXB,1065,Ro-Ro,LOW,2026-05-10,135075.81
C038,COL,LAX,2484,Container,MEDIUM,2026-04-23,334489.57
C039,LAX,SIN,4915,Container,MEDIUM,2026-04-19,929554.24
C040,SHA,LAX,2131,Container,HIGH,2026-04-08,299528.41
